Datum;Tijd;Maanfase;Hoogwater/laagwater;Meting
01/09/2020; 17:40; ; HW; 93.0 cm;
01/09/2020; 14:26; ; LW; 13.0 cm;
01/09/2020; 05:28; ; HW; 98.0 cm;
01/09/2020; 01:43; ; LW; 8.0 cm;
31/08/2020; 16:59; ; HW; 89.0 cm;
31/08/2020; 13:36; ; LW; 13.0 cm;
31/08/2020; 04:39; ; HW; 93.0 cm;
31/08/2020; 00:20; ; LW; 11.0 cm;
30/08/2020; 15:54; ; HW; 84.0 cm;
30/08/2020; 11:54; ; LW; 14.0 cm;
30/08/2020; 03:04; ; HW; 87.0 cm;
29/08/2020; 23:08; ; LW; 16.0 cm;
29/08/2020; 14:37; ; HW; 79.0 cm;
29/08/2020; 10:30; ; LW; 15.0 cm;
29/08/2020; 01:48; ; HW; 83.0 cm;
28/08/2020; 20:26; ; LW; 19.0 cm;
28/08/2020; 13:20; ; HW; 78.0 cm;
28/08/2020; 09:13; ; LW; 14.0 cm;
28/08/2020; 00:35; ; HW; 85.0 cm;
27/08/2020; 19:08; ; LW; 20.0 cm;
27/08/2020; 12:00; ; HW; 83.0 cm;
27/08/2020; 08:19; ; LW; 12.0 cm;
26/08/2020; 23:35; ; HW; 88.0 cm;
26/08/2020; 18:36; ; LW; 20.0 cm;
26/08/2020; 10:54; ; HW; 89.0 cm;
26/08/2020; 07:35; ; LW; 9.0 cm;
25/08/2020; 22:08; Eerste Kwartier 20:58; HW; 90.0 cm;
25/08/2020; 17:50; ; LW; 21.0 cm;
25/08/2020; 09:44; ; HW; 94.0 cm;
25/08/2020; 06:56; ; LW; 7.0 cm;
24/08/2020; 21:09; ; HW; 93.0 cm;
24/08/2020; 18:45; ; LW; 22.0 cm;
24/08/2020; 08:49; ; HW; 99.0 cm;
24/08/2020; 06:16; ; LW; 6.0 cm;
23/08/2020; 20:24; ; HW; 94.0 cm;
23/08/2020; 18:06; ; LW; 20.0 cm;
23/08/2020; 08:03; ; HW; 102.0 cm;
23/08/2020; 05:36; ; LW; 7.0 cm;
22/08/2020; 19:39; ; HW; 96.0 cm;
22/08/2020; 17:27; ; LW; 19.0 cm;
22/08/2020; 07:15; ; HW; 104.0 cm;
22/08/2020; 04:51; ; LW; 9.0 cm;
21/08/2020; 18:54; ; HW; 96.0 cm;
21/08/2020; 16:46; ; LW; 19.0 cm;
21/08/2020; 06:35; ; HW; 105.0 cm;
21/08/2020; 04:06; ; LW; 13.0 cm;
20/08/2020; 18:19; ; HW; 97.0 cm;
20/08/2020; 16:01; ; LW; 19.0 cm;
20/08/2020; 05:54; ; HW; 103.0 cm;
20/08/2020; 02:04; ; LW; 15.0 cm;
19/08/2020; 17:35; Nieuwe Maan 05:42; HW; 95.0 cm;
19/08/2020; 15:06; ; LW; 20.0 cm;
19/08/2020; 05:14; ; HW; 100.0 cm;
19/08/2020; 01:30; ; LW; 14.0 cm;
18/08/2020; 17:04; ; HW; 93.0 cm;
18/08/2020; 13:24; ; LW; 18.0 cm;
18/08/2020; 04:37; ; HW; 96.0 cm;
18/08/2020; 00:44; ; LW; 13.0 cm;
